url,price,address,bedrooms,bathrooms,living_area_sqft,latitude,longitude
https://www.zillow.com/b/2207-leon-st-austin-tx-5YyDnd/,"$1,300/mo","2207 Leon St Austin, Tx, 5YYDND",1,1.0,500,30.2861403,-97.7489603
"https://www.zillow.com/b/building/30.29611,-97.74631_ll/","$5,500/mo","2832 Pearl St, Austin, TX 78705",5,2.0,"2,000",30.296116,-97.7462682
https://www.zillow.com/homedetails/709-Graham-Pl-APT-A-Austin-TX-78705/2121292917_zpid/,"$1,500/mo","709 Graham Pl Apt A, Austin, TX 78705",1,1.0,"1,316",30.289871,-97.7453996
https://www.zillow.com/homedetails/2205-N-Lamar-Blvd-UNIT-214-Austin-TX-78705/83124660_zpid/,"$2,150/mo","2205 N Lamar Blvd Unit 214, Austin, TX 78705",1,1.0,826,30.2863733,-97.7527896
https://www.zillow.com/homedetails/205-E-33rd-St-Austin-TX-78705/89552006_zpid/,"$5,200/mo","205 E 33Rd St, Austin, TX 78705",3,2.5,"2,149",30.2965845,-97.7347274
https://www.zillow.com/homedetails/400-W-34th-St-APT-204-Austin-TX-78705/2126909018_zpid/,"$1,000/mo","400 W 34Th St Apt 204, Austin, TX 78705",0,1.0,400,30.299814,-97.7378357
https://www.zillow.com/homedetails/3208-Duval-St-APT-1-Austin-TX-78705/2121682884_zpid/,"$2,785/mo","3208 Duval St Apt 1, Austin, TX 78705",3,2.0,"1,140",30.295248,-97.7322859
https://www.zillow.com/b/three-thousand-guadalupe-place-condominiums-austin-tx-5XmLJm/,"$1,085/mo","Three Thousand Guadalupe Place Condominiums Austin, Tx, 5XMLJM",1,1.0,450,30.266755,-97.806
https://www.zillow.com/apartments/austin-tx/guadalupe-square/5XrYpq/,"$1,050/mo","Guadalupe Square, Austin, TX 78705",1,1.0,399,30.281734,-97.741887
https://www.zillow.com/homedetails/3316-Guadalupe-St-APT-312-Austin-TX-78705/29398982_zpid/,"$1,050/mo","3316 Guadalupe St Apt 312, Austin, TX 78705",1,1.0,399,30.3004125,-97.7404723
https://www.zillow.com/b/3115-helms-st-austin-tx-5XjfM2/,"$1,500/mo","3115 Helms St, Austin, TX 78705",1,1.0,400,30.2955388,-97.7352349
https://www.zillow.com/homedetails/1910-Robbins-Pl-APT-208-Austin-TX-78705/29331901_zpid/,"$1,700/mo","1910 Robbins Pl Apt 208, Austin, TX 78705",2,2.0,930,30.2847733,-97.7496256
https://www.zillow.com/homedetails/1000-W-26th-St-APT-220-Austin-TX-78705/83125243_zpid/,"$1,300/mo","1000 W 26Th St Apt 220, Austin, TX 78705",1,1.0,445,30.291133,-97.747826
"https://www.zillow.com/b/building/30.28859,-97.750984_ll/","$1,350/mo","2414 Longview St, Austin, TX 78705",2,2.0,822,30.2894585,-97.7513747
https://www.zillow.com/b/102-w-38th-st-austin-tx-5YDLNH/,$995/mo,"102 W 38Th St Austin, Tx, 5YDLNH",1,1.0,360,30.301093,-97.7339422
https://www.zillow.com/homedetails/3307-Hampton-Rd-Austin-TX-78705/29397591_zpid/,"$3,385/mo","3307 Hampton Rd, Austin, TX 78705",4,2.0,"1,584",30.2929045,-97.7266839
https://www.zillow.com/homedetails/2401-Leon-St-APT-310-Austin-TX-78705/29393786_zpid/,"$2,600/mo","2401 Leon St Apt 310, Austin, TX 78705",4,2.0,"1,543",30.288427,-97.749221
